location,followers,comments,coordinates,language,geometry,sentiment
,243,"RT @StevePieczenik: #Dominion 
#DominionVotingSystems https://t.co/aZCLBBpHj8",,und,,
,114,"RT @StevePieczenik: #Dominion 
#DominionVotingSystems",,und,,
"Kampala, Uganda",376,rt suarez hates happening messi,,en,,2
de #Barcelona y de #Mexico,575,el primer master turismo lgbti impartirá barcelona via,,es,,0
Eter,548,el ibi barcelona cuesta,,es,,0
"Castelloli,Catalunya,España.",4686,provincia,,es,,1
,386,rt un día barcelona ciudad moderna hasta populismo hizo,,es,,1
,77,rt ampliarà partida digitalització petit la pandèmia impulsat venda línia,,ca,,1
🐐,2717,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
barcelona,26,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
Japanese,32,rt messi shown still says barcelona boss koeman,,en,,2
Barcelona,147,viajo swissair sé insistes cuarentena,,es,,0
,114,qué pena y españoles,,es,,1
,1252,rt okupas nada detiene afán pero vamos liderar gran coalición,,es,,0
"Valencia, España",204,rt,,en,,2
España,13,tenemos nuevas ofertas adminstración secretariado,,es,,0
"Lagos, Nigeria ",3965,manchester city ended pursuit lionel according spanish football expert semra,,en,,2
"Florida, USA",626,"RT @StevePieczenik: #Dominion 
#DominionVotingSystems",,und,,
ONDO BOY,1617,rt suarez hates happening messi,,en,,2
,305,descubrí leyendo artículo nuria vidal habla,,es,,0
k,2156,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
"Tijuana, Baja California 🇲🇽",102,rt nuevo video el fc barcelona me envía esta caja,,es,,0
Sant Esteve De Les Roures,4306,rt un guàrdia civil blanqueja més robats port barcelona,,ca,,0
"Los Angeles, CA",20,rt barcelona ruled signing memphis depay if income priority,,en,,2
Catalunya,104827,jordi montull amagat justícia ingressos euros anuals lloguers per evitar li ho,,ca,,0
,44,rt mircea lucescu of presence messi always,,en,,2
"Lagos, Nigeria",231,rt suarez hates happening messi,,en,,2
Sabadell - Països Catalans,232,rt la onda expansiva llegado barcelona,,ca,,2
꿈나라,100,hoy empieza hilo aventuras barcelona,,es,,2
Reino de España ,4545,rt okupas nada detiene afán pero vamos liderar gran coalición,,es,,0
Cabrils,371,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
"Immerath, Deutschland",820,unexpected change direction polak band i we decided boy band,,en,,2
"Asheville, NC",5059,rt installed votes found way barcelona software manipulated vote,,en,,2
,1045,RT @i_iamfreezy: @Pypper_ Na Barcelona break my heart ooo😂😂,,pl,,
,653,rt llama marjan hombre tiroteado guardia urbana llevaba brazo cabestrillo,,es,,0
,2459,know barcelona let messi leave build team got nothing left,,en,,2
"Cassoles, Barcelona",600,la barcelona fa fora policia i recupera cases per veïnes barcelona volem,,ca,,0
,49,rt if barcelona want griezmann cut player says not happening even though fans think affects game,,en,,2
akoka,2771,rt if barcelona want griezmann cut player says not happening even though fans think affects game,,en,,2
,1468,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
Paris,146,RT @akira_doe: @DrGomi @EricBillyFR Bon ... l'espoir d'une moindre susceptibilite des enfants a du plomb dans l'aile ... https://t.co/jEp9s…,,fr,,
,443,en infierno,,es,,0
"Dar es Salaam, Tanzania",23,"#UCL LEO.
.
20:55' FC Krasnodar 🆚 Sevilla
20:55' Rennes 🆚 Chelsea
23:00' Borussia Dortmund 🆚 Club Brugge
23:00' Laz… https://t.co/JP7m360jDR",,ro,,
"chelsea fc 💙, real madrid 🤍",335,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
Madrid,225,vuelve barsa llorón,,es,,0
España,2496,rt okupas nada detiene afán pero vamos liderar gran coalición,,es,,0
"Vigo, Galicia",1309,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
In the heart of the Bernabeau,927,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
San Cristobal - Venezuela,1143,rt en messi lograba doblete estadio mítico celtic cara sonriente ojos forma corazón,,es,,1
Barcelona,1724915,repasa futbolistas barcelona filas seguramente llegará,,es,,0
Barcelona,3202,esteu temps fer vostres propostes,,ca,,2
"Costa Mesa, CA",214,"RT @StevePieczenik: #Dominion 
#DominionVotingSystems",,und,,
"İstanbul, Türkiye",72,"RT @Bonushood1: Sponsorumuz Grbets muhteşem bir etkinlikle karşınızda. 

GRBETS / DİNAMO KİEV - BARCELONA / SKOR ETKİNLİĞİ / 15 TL FREEBET!…",,tr,,
"Sant Celoni, Espanya",871,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
Guadalcacín (Sverige),218,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
,13,rt fc barcelona debemos ser bloque sólido defensa tener eficacia el córner sur,,es,,0
,2713,rt això va pasar per mort tret gossa sota barcelona per guàrdia urbà ara fa dos ara tenim,,ca,,0
,4,y copas europa copas rey,,es,,1
"Barcelona, Tabarnia, España",1220,rt un día barcelona ciudad moderna hasta populismo hizo,,es,,1
Madrid - Barcelona,1176,rt aparcamientos pequeños europa los coches cada vez,,es,,0
,335,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
"New York, London, Rome",450,rt met sidney seen evidence respect dominion machines software used,,en,,2
"McKinney, TX",404,rt met sidney seen evidence respect dominion machines software used,,en,,2
"Barcelona, España",72,tantas canciones puesto nunca la bso robin prince of film simphony,,es,,0
,343,RT @joerg_spengler: #Barcelona soll zu einer einzigen großen Fußgängerzone werden. Das hat Bürgermeisterin Ada Colau bekannt gegeben. Bis 2…,,de,,
"San Diego, CA | he/him",367,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
Nigeria,1046,rt if barcelona want griezmann cut player says not happening even though fans think affects game,,en,,2
,74,"RT @Bonushood1: Etkinliğe gelll 🗣️

CEBAHİS | DİNAMO KİEV - BARCELONA | TOPLAM GOL ARALIĞI ETKİNLİĞİ | 30₺ FREEBET!

♾ RT+ FAV
♾ 3 Arkadaşı…",,tr,,
,841,RT @StevePieczenik: #Massachusetts,,und,,
,379,barca fans ronaldinho lighting world looking like banshee,,en,,2
Barcelona,520,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
,558,rt me barcelona momento pero barceloneses votaron psc esperaban,,es,,2
dc,318,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
Worldwide,984,rt please tag barcelona see,,en,,2
Barcelona,7237,rt suspenen feina i sou mosso per pegar jove ciutat vella i tres més seves,,ca,,0
La catedral,371,rt imagine wayne rooney part barcelona team,,en,,2
,20,rt en cas sensesostre tirotejat barcelona fins caigui qui peti qui i hi,,ca,,0
